,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
2483,1753,2011-03-18,1,0,3,0,5,1,1,0.7,0.6364,0.37,0.3284,95,237,332,17.0
2484,1754,2011-03-18,1,0,3,0,5,1,1,0.68,0.6364,0.39,0.1642,84,247,331,18.0
2485,1755,2011-03-18,1,0,3,0,5,1,1,0.66,0.6212,0.44,0.1343,58,132,190,19.0
2486,1756,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.46,0.1343,46,103,149,20.0
2487,1757,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.46,0.1045,22,91,113,21.0
2488,1758,2011-03-18,1,0,3,0,5,1,1,0.62,0.6212,0.5,0.1642,55,63,118,22.0
2489,1759,2011-03-18,1,0,3,0,5,1,2,0.6,0.6212,0.53,0.2239,26,60,86,23.0
2490,1760,2011-03-19,1,0,3,0,6,0,2,0.6,0.6212,0.53,0.2537,26,50,76,0.0
2491,1761,2011-03-19,1,0,3,0,6,0,2,0.58,0.5455,0.46,0.3582,16,35,51,1.0
2492,1762,2011-03-19,1,0,3,0,6,0,2,0.56,0.5303,0.43,0.2239,5,20,25,2.0
2493,1763,2011-03-19,1,0,3,0,6,0,2,0.54,0.5152,0.39,0.3284,1,7,8,3.0
2494,1764,2011-03-19,1,0,3,0,6,0,1,0.52,0.5,0.34,0.4179,1,2,3,4.0
2495,1765,2011-03-19,1,0,3,0,6,0,1,0.52,0.5,0.34,0.4179,0,2,2,5.0
2496,1766,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.44,0.4179,0,10,10,6.0
2497,1767,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.5,0.3284,4,9,13,7.0
2498,1768,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.47,0.4925,11,37,48,8.0
2499,1769,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.44,0.4627,35,41,76,9.0
2500,1770,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.38,0.4179,55,85,140,10.0
2501,1771,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.36,0.4478,90,106,196,11.0
2502,1772,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.33,0.4179,126,141,267,12.0
2503,1773,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.34,0.4627,174,127,301,13.0
2504,1774,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.31,0.4925,168,144,312,14.0
2505,1775,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.29,0.4179,170,143,313,15.0
2506,1776,2011-03-19,1,0,3,0,6,0,1,0.5,0.4848,0.31,0.3881,175,129,304,16.0
2507,1777,2011-03-19,1,0,3,0,6,0,1,0.48,0.4697,0.31,0.3284,138,140,278,17.0
2508,1778,2011-03-19,1,0,3,0,6,0,1,0.46,0.4545,0.31,0.3284,92,125,217,18.0
2509,1779,2011-03-19,1,0,3,0,6,0,1,0.44,0.4394,0.33,0.2836,38,116,154,19.0
2510,1780,2011-03-19,1,0,3,0,6,0,1,0.42,0.4242,0.35,0.2239,39,69,108,20.0
2511,1781,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.37,0.2985,20,73,93,21.0
2512,1782,2011-03-19,1,0,3,0,6,0,1,0.4,0.4091,0.37,0.3284,27,45,72,22.0
2513,1783,2011-03-19,1,0,3,0,6,0,1,0.38,0.3939,0.4,0.2985,13,37,50,23.0
2514,1784,2011-03-20,1,0,3,0,0,0,1,0.34,0.303,0.49,0.4179,7,33,40,0.0
2515,1785,2011-03-20,1,0,3,0,0,0,1,0.32,0.2879,0.53,0.3582,2,22,24,1.0
2516,1786,2011-03-20,1,0,3,0,0,0,1,0.3,0.2879,0.52,0.2836,6,24,30,2.0
2517,1787,2011-03-20,1,0,3,0,0,0,1,0.28,0.2727,0.56,0.2537,1,11,12,3.0
2518,1788,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.56,0.2239,2,1,3,4.0
2519,1789,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.6,0.194,3,6,9,5.0
2520,1790,2011-03-20,1,0,3,0,0,0,1,0.26,0.2576,0.6,0.2239,1,3,4,6.0
2521,1791,2011-03-20,1,0,3,0,0,0,1,0.24,0.2273,0.6,0.2239,5,9,14,7.0
2522,1792,2011-03-20,1,0,3,0,0,0,1,0.28,0.2727,0.56,0.1642,7,30,37,8.0
2523,1793,2011-03-20,1,0,3,0,0,0,1,0.3,0.303,0.52,0.1343,35,43,78,9.0
2524,1794,2011-03-20,1,0,3,0,0,0,2,0.32,0.3485,0.45,0.0,55,81,136,10.0
2525,1795,2011-03-20,1,0,3,0,0,0,1,0.34,0.3485,0.39,0.1045,92,111,203,11.0
2526,1796,2011-03-20,1,0,3,0,0,0,1,0.36,0.3636,0.4,0.1045,120,108,228,12.0
2527,1797,2011-03-20,1,0,3,0,0,0,1,0.38,0.3939,0.34,0.0,88,115,203,13.0
2528,1798,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.3,0.0,145,134,279,14.0
2529,1799,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.32,0.0896,172,136,308,15.0
2530,1800,2011-03-20,1,0,3,0,0,0,1,0.42,0.4242,0.32,0.0,92,132,224,16.0
2531,1801,2011-03-20,1,0,3,0,0,0,1,0.4,0.4091,0.35,0.2836,83,143,226,17.0
2532,1802,2011-03-20,1,0,3,0,0,0,1,0.38,0.3939,0.4,0.3582,58,98,156,18.0
2533,1803,2011-03-20,1,0,3,0,0,0,1,0.36,0.3333,0.43,0.2836,21,58,79,19.0
2534,1804,2011-03-20,1,0,3,0,0,0,1,0.36,0.3333,0.46,0.2836,21,46,67,20.0
2535,1805,2011-03-20,1,0,3,0,0,0,2,0.34,0.3182,0.53,0.2836,10,39,49,21.0
2536,1806,2011-03-20,1,0,3,0,0,0,2,0.34,0.303,0.53,0.3284,8,30,38,22.0
2537,1807,2011-03-20,1,0,3,0,0,0,3,0.34,0.303,0.61,0.3881,13,11,24,23.0
2538,1808,2011-03-21,2,0,3,0,1,1,3,0.34,0.303,0.66,0.3881,2,11,13,0.0
2539,1809,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3881,1,6,7,1.0
2540,1810,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3284,1,5,6,2.0
2541,1811,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.71,0.3284,0,1,1,3.0
2542,1812,2011-03-21,2,0,3,0,1,1,1,0.32,0.303,0.81,0.2985,1,1,2,5.0
2543,1813,2011-03-21,2,0,3,0,1,1,3,0.32,0.303,0.76,0.2537,2,30,32,6.0
2544,1814,2011-03-21,2,0,3,0,1,1,3,0.3,0.2727,0.87,0.4179,3,15,18,7.0
2545,1815,2011-03-21,2,0,3,0,1,1,2,0.3,0.2727,0.87,0.4179,3,95,98,8.0
2546,1816,2011-03-21,2,0,3,0,1,1,2,0.34,0.303,0.81,0.3284,12,115,127,9.0
2547,1817,2011-03-21,2,0,3,0,1,1,2,0.38,0.3939,0.76,0.3881,17,45,62,10.0
2548,1818,2011-03-21,2,0,3,0,1,1,2,0.42,0.4242,0.71,0.2985,32,47,79,11.0
2549,1819,2011-03-21,2,0,3,0,1,1,2,0.44,0.4394,0.77,0.2537,25,56,81,12.0
2550,1820,2011-03-21,2,0,3,0,1,1,2,0.5,0.4848,0.63,0.2239,35,77,112,13.0
2551,1821,2011-03-21,2,0,3,0,1,1,2,0.54,0.5152,0.64,0.2239,36,65,101,14.0
2552,1822,2011-03-21,2,0,3,0,1,1,2,0.56,0.5303,0.6,0.2239,41,66,107,15.0
2553,1823,2011-03-21,2,0,3,0,1,1,2,0.54,0.5152,0.64,0.2836,29,112,141,16.0
2554,1824,2011-03-21,2,0,3,0,1,1,2,0.54,0.5152,0.64,0.2537,41,231,272,17.0
2555,1825,2011-03-21,2,0,3,0,1,1,2,0.52,0.5,0.72,0.2239,44,232,276,18.0
2556,1826,2011-03-21,2,0,3,0,1,1,1,0.58,0.5455,0.6,0.4179,22,199,221,19.0
2557,1827,2011-03-21,2,0,3,0,1,1,1,0.56,0.5303,0.64,0.194,16,106,122,20.0
2558,1828,2011-03-21,2,0,3,0,1,1,1,0.46,0.4545,0.94,0.194,12,79,91,21.0
2559,1829,2011-03-21,2,0,3,0,1,1,1,0.46,0.4545,0.88,0.2239,18,60,78,22.0
2560,1830,2011-03-21,2,0,3,0,1,1,1,0.46,0.4545,0.88,0.0896,8,22,30,23.0
2561,1831,2011-03-22,2,0,3,0,2,1,1,0.46,0.4545,0.88,0.194,4,7,11,0.0
2562,1832,2011-03-22,2,0,3,0,2,1,1,0.42,0.4242,1.0,0.1343,6,13,19,1.0
2563,1833,2011-03-22,2,0,3,0,2,1,1,0.44,0.4394,0.94,0.0896,0,1,1,2.0
2564,1834,2011-03-22,2,0,3,0,2,1,1,0.44,0.4394,0.82,0.2239,3,2,5,3.0
2565,1835,2011-03-22,2,0,3,0,2,1,2,0.42,0.4242,0.82,0.1642,0,1,1,4.0
2566,1836,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.87,0.1343,1,11,12,5.0
2567,1837,2011-03-22,2,0,3,0,2,1,1,0.4,0.4091,0.87,0.2537,2,58,60,6.0
2568,1838,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.76,0.1045,4,132,136,7.0
2569,1839,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.58,0.2985,24,312,336,8.0
2570,1840,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.58,0.4627,19,159,178,9.0
2571,1841,2011-03-22,2,0,3,0,2,1,2,0.44,0.4394,0.54,0.2985,29,95,124,10.0
2572,1842,2011-03-22,2,0,3,0,2,1,1,0.44,0.4394,0.51,0.3284,22,64,86,11.0
2573,1843,2011-03-22,2,0,3,0,2,1,1,0.46,0.4545,0.47,0.2537,35,86,121,12.0
2574,1844,2011-03-22,2,0,3,0,2,1,1,0.5,0.4848,0.45,0.2239,21,85,106,13.0
2575,1845,2011-03-22,2,0,3,0,2,1,1,0.5,0.4848,0.42,0.3284,30,71,101,14.0
2576,1846,2011-03-22,2,0,3,0,2,1,1,0.5,0.4848,0.42,0.2239,55,79,134,15.0
2577,1847,2011-03-22,2,0,3,0,2,1,1,0.5,0.4848,0.42,0.1045,40,125,165,16.0
2578,1848,2011-03-22,2,0,3,0,2,1,1,0.5,0.4848,0.42,0.1045,42,265,307,17.0
2579,1849,2011-03-22,2,0,3,0,2,1,1,0.48,0.4697,0.44,0.0896,41,271,312,18.0
2580,1850,2011-03-22,2,0,3,0,2,1,2,0.44,0.4394,0.54,0.2537,22,142,164,19.0
2581,1851,2011-03-22,2,0,3,0,2,1,2,0.44,0.4394,0.54,0.3582,19,116,135,20.0
2582,1852,2011-03-22,2,0,3,0,2,1,2,0.42,0.4242,0.54,0.2836,24,63,87,21.0
2583,1853,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.58,0.2537,13,57,70,22.0
2584,1854,2011-03-22,2,0,3,0,2,1,2,0.4,0.4091,0.58,0.2537,4,28,32,23.0
2585,1855,2011-03-23,2,0,3,0,3,1,3,0.36,0.3485,0.71,0.2239,3,8,11,0.0
2586,1856,2011-03-23,2,0,3,0,3,1,3,0.34,0.3182,0.76,0.2239,0,7,7,1.0
2587,1857,2011-03-23,2,0,3,0,3,1,3,0.34,0.3182,0.76,0.2239,1,1,2,2.0
2588,1858,2011-03-23,2,0,3,0,3,1,2,0.34,0.3182,0.76,0.2537,0,3,3,3.0
2589,1859,2011-03-23,2,0,3,0,3,1,3,0.32,0.3182,0.87,0.194,0,10,10,5.0
2590,1860,2011-03-23,2,0,3,0,3,1,2,0.34,0.3182,0.87,0.2537,1,43,44,6.0
2591,1861,2011-03-23,2,0,3,0,3,1,2,0.32,0.303,0.93,0.2239,7,111,118,7.0
2592,1862,2011-03-23,2,0,3,0,3,1,2,0.32,0.3182,0.87,0.194,14,247,261,8.0
2593,1863,2011-03-23,2,0,3,0,3,1,2,0.32,0.303,0.81,0.2537,8,174,182,9.0
2594,1864,2011-03-23,2,0,3,0,3,1,2,0.34,0.3182,0.81,0.2836,15,60,75,10.0
2595,1865,2011-03-23,2,0,3,0,3,1,2,0.34,0.3333,0.87,0.194,18,53,71,11.0
2596,1866,2011-03-23,2,0,3,0,3,1,2,0.34,0.3182,0.87,0.2239,14,73,87,12.0
2597,1867,2011-03-23,2,0,3,0,3,1,3,0.34,0.3333,0.87,0.1343,14,94,108,13.0
2598,1868,2011-03-23,2,0,3,0,3,1,2,0.36,0.3636,0.87,0.1045,13,71,84,14.0
2599,1869,2011-03-23,2,0,3,0,3,1,2,0.38,0.3939,0.82,0.2239,11,74,85,15.0
2600,1870,2011-03-23,2,0,3,0,3,1,2,0.4,0.4091,0.76,0.2239,13,123,136,16.0
2601,1871,2011-03-23,2,0,3,0,3,1,2,0.4,0.4091,0.76,0.2239,28,245,273,17.0
2602,1872,2011-03-23,2,0,3,0,3,1,3,0.38,0.3939,0.82,0.2537,20,218,238,18.0
2603,1873,2011-03-23,2,0,3,0,3,1,3,0.38,0.3939,0.82,0.2537,12,147,159,19.0
2604,1874,2011-03-23,2,0,3,0,3,1,3,0.36,0.303,0.87,0.6418,3,72,75,20.0
2605,1875,2011-03-23,2,0,3,0,3,1,3,0.32,0.2879,1.0,0.4179,0,22,22,21.0
2606,1876,2011-03-23,2,0,3,0,3,1,2,0.32,0.3182,0.93,0.1642,6,38,44,22.0
2607,1877,2011-03-23,2,0,3,0,3,1,3,0.32,0.3333,0.9,0.0,2,24,26,23.0
2608,1878,2011-03-24,2,0,3,0,4,1,2,0.32,0.303,0.93,0.2239,0,11,11,0.0
2609,1879,2011-03-24,2,0,3,0,4,1,2,0.3,0.2879,1.0,0.2239,0,3,3,1.0
2610,1880,2011-03-24,2,0,3,0,4,1,2,0.3,0.2879,1.0,0.2537,0,6,6,2.0
2611,1881,2011-03-24,2,0,3,0,4,1,2,0.28,0.2727,1.0,0.194,1,0,1,3.0
2612,1882,2011-03-24,2,0,3,0,4,1,2,0.28,0.2727,1.0,0.194,0,1,1,4.0
2613,1883,2011-03-24,2,0,3,0,4,1,2,0.28,0.2727,0.93,0.2239,1,8,9,5.0
2614,1884,2011-03-24,2,0,3,0,4,1,2,0.28,0.2727,0.93,0.2239,0,41,41,6.0
2615,1885,2011-03-24,2,0,3,0,4,1,3,0.26,0.2576,1.0,0.2239,2,106,108,7.0
2616,1886,2011-03-24,2,0,3,0,4,1,3,0.26,0.2273,1.0,0.2985,4,120,124,8.0
2617,1887,2011-03-24,2,0,3,0,4,1,2,0.26,0.2576,0.93,0.2239,3,94,97,9.0
2618,1888,2011-03-24,2,0,3,0,4,1,2,0.26,0.2273,0.93,0.3284,10,55,65,10.0
2619,1889,2011-03-24,2,0,3,0,4,1,2,0.3,0.2727,0.81,0.2985,10,61,71,11.0
2620,1890,2011-03-24,2,0,3,0,4,1,2,0.3,0.2727,0.7,0.3284,12,82,94,12.0
2621,1891,2011-03-24,2,0,3,0,4,1,2,0.32,0.303,0.7,0.2239,11,90,101,13.0
2622,1892,2011-03-24,2,0,3,0,4,1,2,0.3,0.303,0.7,0.1343,17,66,83,14.0
2623,1893,2011-03-24,2,0,3,0,4,1,2,0.3,0.2879,0.7,0.2537,13,77,90,15.0
2624,1894,2011-03-24,2,0,3,0,4,1,2,0.3,0.2879,0.65,0.2239,6,78,84,16.0
2625,1895,2011-03-24,2,0,3,0,4,1,2,0.3,0.2879,0.7,0.2239,12,221,233,17.0
2626,1896,2011-03-24,2,0,3,0,4,1,2,0.3,0.2727,0.61,0.2985,17,197,214,18.0
2627,1897,2011-03-24,2,0,3,0,4,1,1,0.3,0.2727,0.56,0.3881,16,122,138,19.0
2628,1898,2011-03-24,2,0,3,0,4,1,1,0.28,0.2576,0.61,0.2836,8,110,118,20.0
2629,1899,2011-03-24,2,0,3,0,4,1,1,0.26,0.2576,0.65,0.2239,11,67,78,21.0
2630,1900,2011-03-24,2,0,3,0,4,1,1,0.26,0.2576,0.65,0.1642,3,59,62,22.0
2631,1901,2011-03-24,2,0,3,0,4,1,1,0.24,0.2273,0.65,0.194,9,24,33,23.0
2632,1902,2011-03-25,2,0,3,0,5,1,1,0.24,0.2273,0.6,0.194,1,17,18,0.0
2633,1903,2011-03-25,2,0,3,0,5,1,1,0.2,0.2121,0.69,0.1642,0,5,5,1.0
2634,1904,2011-03-25,2,0,3,0,5,1,1,0.2,0.197,0.69,0.2239,0,5,5,2.0
2635,1905,2011-03-25,2,0,3,0,5,1,1,0.2,0.2273,0.69,0.1045,0,2,2,3.0
2636,1906,2011-03-25,2,0,3,0,5,1,1,0.18,0.2121,0.74,0.1045,3,2,5,4.0
2637,1907,2011-03-25,2,0,3,0,5,1,1,0.18,0.197,0.74,0.1642,0,9,9,5.0
2638,1908,2011-03-25,2,0,3,0,5,1,1,0.18,0.1818,0.74,0.2239,0,32,32,6.0
2639,1909,2011-03-25,2,0,3,0,5,1,1,0.2,0.1818,0.59,0.3582,4,100,104,7.0
2640,1910,2011-03-25,2,0,3,0,5,1,1,0.22,0.2121,0.51,0.2836,9,228,237,8.0
2641,1911,2011-03-25,2,0,3,0,5,1,1,0.24,0.2121,0.48,0.2985,16,150,166,9.0
2642,1912,2011-03-25,2,0,3,0,5,1,1,0.26,0.2576,0.48,0.0,15,53,68,10.0
2643,1913,2011-03-25,2,0,3,0,5,1,1,0.3,0.2879,0.45,0.2836,17,58,75,11.0
2644,1914,2011-03-25,2,0,3,0,5,1,1,0.32,0.303,0.42,0.2537,37,108,145,12.0
2645,1915,2011-03-25,2,0,3,0,5,1,1,0.32,0.3182,0.39,0.194,34,104,138,13.0
2646,1916,2011-03-25,2,0,3,0,5,1,1,0.36,0.3333,0.32,0.3284,30,103,133,14.0
2647,1917,2011-03-25,2,0,3,0,5,1,2,0.34,0.3182,0.36,0.2537,43,79,122,15.0
2648,1918,2011-03-25,2,0,3,0,5,1,2,0.34,0.303,0.34,0.2985,23,127,150,16.0
2649,1919,2011-03-25,2,0,3,0,5,1,2,0.32,0.2879,0.36,0.3582,23,202,225,17.0
2650,1920,2011-03-25,2,0,3,0,5,1,1,0.3,0.2879,0.39,0.2537,8,190,198,18.0
2651,1921,2011-03-25,2,0,3,0,5,1,2,0.3,0.2879,0.36,0.2836,9,126,135,19.0
2652,1922,2011-03-25,2,0,3,0,5,1,2,0.3,0.303,0.39,0.1343,6,75,81,20.0
2653,1923,2011-03-25,2,0,3,0,5,1,2,0.3,0.303,0.39,0.1642,11,64,75,21.0
2654,1924,2011-03-25,2,0,3,0,5,1,2,0.28,0.2576,0.38,0.3284,3,40,43,22.0
2655,1925,2011-03-25,2,0,3,0,5,1,2,0.26,0.2424,0.38,0.2836,8,31,39,23.0
2656,1926,2011-03-26,2,0,3,0,6,0,2,0.26,0.2424,0.38,0.2836,3,25,28,0.0
2657,1927,2011-03-26,2,0,3,0,6,0,1,0.26,0.2273,0.38,0.2985,3,24,27,1.0
2658,1928,2011-03-26,2,0,3,0,6,0,1,0.22,0.2121,0.44,0.2239,4,21,25,2.0
2659,1929,2011-03-26,2,0,3,0,6,0,1,0.2,0.197,0.47,0.194,2,7,9,3.0
2660,1930,2011-03-26,2,0,3,0,6,0,1,0.22,0.2121,0.44,0.2239,2,4,6,4.0
2661,1931,2011-03-26,2,0,3,0,6,0,1,0.2,0.197,0.51,0.194,0,8,8,5.0
2662,1932,2011-03-26,2,0,3,0,6,0,1,0.18,0.1818,0.55,0.194,2,8,10,6.0
2663,1933,2011-03-26,2,0,3,0,6,0,1,0.2,0.197,0.51,0.194,18,23,41,7.0
2664,1934,2011-03-26,2,0,3,0,6,0,1,0.22,0.2273,0.44,0.1343,24,42,66,8.0
2665,1935,2011-03-26,2,0,3,0,6,0,1,0.24,0.2424,0.41,0.1343,32,68,100,9.0
2666,1936,2011-03-26,2,0,3,0,6,0,1,0.26,0.2576,0.41,0.1642,32,93,125,10.0
2667,1937,2011-03-26,2,0,3,0,6,0,1,0.28,0.2727,0.38,0.1642,75,93,168,11.0
2668,1938,2011-03-26,2,0,3,0,6,0,1,0.3,0.2879,0.36,0.194,98,129,227,12.0
2669,1939,2011-03-26,2,0,3,0,6,0,1,0.32,0.303,0.33,0.2239,94,145,239,13.0
2670,1940,2011-03-26,2,0,3,0,6,0,1,0.34,0.3182,0.29,0.2239,93,123,216,14.0
2671,1941,2011-03-26,2,0,3,0,6,0,1,0.34,0.3333,0.29,0.194,110,109,219,15.0
2672,1942,2011-03-26,2,0,3,0,6,0,1,0.34,0.3333,0.23,0.194,118,130,248,16.0
2673,1943,2011-03-26,2,0,3,0,6,0,1,0.32,0.303,0.24,0.2239,102,101,203,17.0
2674,1944,2011-03-26,2,0,3,0,6,0,2,0.32,0.3182,0.21,0.1642,64,89,153,18.0
2675,1945,2011-03-26,2,0,3,0,6,0,2,0.28,0.2727,0.45,0.2537,45,93,138,19.0
2676,1946,2011-03-26,2,0,3,0,6,0,2,0.28,0.2727,0.45,0.2537,18,67,85,20.0
2677,1947,2011-03-26,2,0,3,0,6,0,2,0.26,0.2576,0.44,0.194,15,36,51,21.0
2678,1948,2011-03-26,2,0,3,0,6,0,2,0.28,0.2727,0.41,0.2239,17,46,63,22.0
2679,1949,2011-03-26,2,0,3,0,6,0,2,0.26,0.2424,0.44,0.2836,10,31,41,23.0
2680,1950,2011-03-27,2,0,3,0,0,0,2,0.26,0.2576,0.41,0.1642,5,26,31,0.0
2681,1951,2011-03-27,2,0,3,0,0,0,2,0.24,0.2273,0.52,0.194,3,17,20,1.0
2682,1952,2011-03-27,2,0,3,0,0,0,3,0.22,0.2273,0.55,0.194,6,15,21,2.0
2683,1953,2011-03-27,2,0,3,0,0,0,3,0.2,0.197,0.69,0.2239,0,14,14,3.0
2684,1954,2011-03-27,2,0,3,0,0,0,3,0.18,0.197,0.74,0.1642,1,5,6,4.0
2685,1955,2011-03-27,2,0,3,0,0,0,3,0.16,0.1818,0.86,0.1343,0,2,2,6.0
2686,1956,2011-03-27,2,0,3,0,0,0,3,0.16,0.1667,0.86,0.1642,0,7,7,7.0
2687,1957,2011-03-27,2,0,3,0,0,0,1,0.2,0.197,0.69,0.2239,6,8,14,8.0
2688,1958,2011-03-27,2,0,3,0,0,0,1,0.22,0.2273,0.55,0.1343,17,37,54,9.0
2689,1959,2011-03-27,2,0,3,0,0,0,2,0.22,0.2121,0.55,0.2239,27,59,86,10.0
2690,1960,2011-03-27,2,0,3,0,0,0,2,0.24,0.2424,0.48,0.1642,23,85,108,11.0
2691,1961,2011-03-27,2,0,3,0,0,0,2,0.26,0.2576,0.44,0.2239,43,120,163,12.0
2692,1962,2011-03-27,2,0,3,0,0,0,1,0.3,0.2879,0.39,0.2239,47,100,147,13.0
2693,1963,2011-03-27,2,0,3,0,0,0,1,0.32,0.3182,0.36,0.1642,61,103,164,14.0
2694,1964,2011-03-27,2,0,3,0,0,0,1,0.32,0.303,0.36,0.2836,61,111,172,15.0
2695,1965,2011-03-27,2,0,3,0,0,0,1,0.34,0.3333,0.34,0.0,45,98,143,16.0
2696,1966,2011-03-27,2,0,3,0,0,0,1,0.32,0.303,0.31,0.2537,50,109,159,17.0
2697,1967,2011-03-27,2,0,3,0,0,0,1,0.3,0.2879,0.33,0.194,32,105,137,18.0
2698,1968,2011-03-27,2,0,3,0,0,0,1,0.3,0.2879,0.31,0.2239,23,80,103,19.0
2699,1969,2011-03-27,2,0,3,0,0,0,1,0.28,0.2727,0.36,0.1642,7,50,57,20.0
2700,1970,2011-03-27,2,0,3,0,0,0,1,0.26,0.2576,0.41,0.1642,7,29,36,21.0
2701,1971,2011-03-27,2,0,3,0,0,0,1,0.26,0.2576,0.41,0.1642,5,25,30,22.0
2702,1972,2011-03-27,2,0,3,0,0,0,1,0.26,0.2576,0.44,0.194,3,16,19,23.0
2703,1973,2011-03-28,2,0,3,0,1,1,1,0.22,0.2273,0.55,0.194,1,11,12,0.0
2704,1974,2011-03-28,2,0,3,0,1,1,1,0.22,0.2273,0.44,0.194,2,4,6,1.0
2705,1975,2011-03-28,2,0,3,0,1,1,1,0.22,0.2273,0.44,0.1642,0,5,5,2.0
2706,1976,2011-03-28,2,0,3,0,1,1,1,0.22,0.2273,0.44,0.1642,0,2,2,3.0
2707,1977,2011-03-28,2,0,3,0,1,1,1,0.18,0.1818,0.43,0.194,0,8,8,5.0
2708,1978,2011-03-28,2,0,3,0,1,1,1,0.18,0.1667,0.34,0.2836,0,40,40,6.0
2709,1979,2011-03-28,2,0,3,0,1,1,1,0.2,0.1818,0.32,0.3284,6,104,110,7.0
2710,1980,2011-03-28,2,0,3,0,1,1,1,0.2,0.197,0.34,0.2239,15,239,254,8.0
2711,1981,2011-03-28,2,0,3,0,1,1,2,0.22,0.2121,0.32,0.2239,12,109,121,9.0
2712,1982,2011-03-28,2,0,3,0,1,1,1,0.24,0.2273,0.3,0.194,22,47,69,10.0
2713,1983,2011-03-28,2,0,3,0,1,1,2,0.26,0.2424,0.3,0.2836,18,39,57,11.0
2714,1984,2011-03-28,2,0,3,0,1,1,2,0.26,0.2727,0.25,0.0,8,71,79,12.0
2715,1985,2011-03-28,2,0,3,0,1,1,2,0.3,0.2879,0.24,0.2239,14,69,83,13.0
2716,1986,2011-03-28,2,0,3,0,1,1,1,0.32,0.303,0.22,0.2239,15,65,80,14.0
2717,1987,2011-03-28,2,0,3,0,1,1,1,0.32,0.303,0.24,0.2836,19,53,72,15.0
2718,1988,2011-03-28,2,0,3,0,1,1,1,0.34,0.3182,0.23,0.2239,15,117,132,16.0
2719,1989,2011-03-28,2,0,3,0,1,1,1,0.34,0.303,0.23,0.2985,25,227,252,17.0
2720,1990,2011-03-28,2,0,3,0,1,1,1,0.32,0.303,0.21,0.2836,21,220,241,18.0
2721,1991,2011-03-28,2,0,3,0,1,1,1,0.3,0.303,0.22,0.1343,17,156,173,19.0
2722,1992,2011-03-28,2,0,3,0,1,1,1,0.32,0.3333,0.22,0.1045,5,107,112,20.0
2723,1993,2011-03-28,2,0,3,0,1,1,1,0.32,0.3333,0.21,0.1343,6,55,61,21.0
2724,1994,2011-03-28,2,0,3,0,1,1,1,0.3,0.2879,0.22,0.2239,0,40,40,22.0
2725,1995,2011-03-28,2,0,3,0,1,1,1,0.28,0.2576,0.24,0.2985,1,18,19,23.0
2726,1996,2011-03-29,2,0,3,0,2,1,1,0.26,0.2273,0.28,0.3284,1,15,16,0.0
2727,1997,2011-03-29,2,0,3,0,2,1,1,0.24,0.2121,0.32,0.2985,0,4,4,1.0
2728,1998,2011-03-29,2,0,3,0,2,1,1,0.24,0.2121,0.32,0.2985,0,3,3,2.0
2729,1999,2011-03-29,2,0,3,0,2,1,1,0.24,0.2121,0.32,0.2985,2,1,3,3.0
2730,2000,2011-03-29,2,0,3,0,2,1,1,0.2,0.2121,0.44,0.1642,1,1,2,4.0
2731,2001,2011-03-29,2,0,3,0,2,1,1,0.22,0.2121,0.37,0.2537,0,8,8,5.0
2732,2002,2011-03-29,2,0,3,0,2,1,1,0.22,0.2121,0.41,0.2985,4,46,50,6.0
2733,2003,2011-03-29,2,0,3,0,2,1,1,0.22,0.197,0.41,0.3582,5,128,133,7.0
2734,2004,2011-03-29,2,0,3,0,2,1,1,0.24,0.2121,0.35,0.3582,19,268,287,8.0
2735,2005,2011-03-29,2,0,3,0,2,1,1,0.28,0.2576,0.28,0.3881,16,156,172,9.0
2736,2006,2011-03-29,2,0,3,0,2,1,1,0.3,0.2727,0.24,0.2985,13,46,59,10.0
